# Z_list, L_x, em_tot, avg_tot, n_tot, integral_results_z_tot
4.913636363636363136e+00 2.848035868435793318e+46 3.186811296468671147e+41 6.529432587746661518e+45 4.860711193122784022e-05 7.164704316686045023e-42
5.004444444444444251e+00 3.162277660168379247e+46 3.143425337216738821e+41 6.485259515784858277e+45 4.827073249010557511e-05 4.870110694374538423e-42
5.095252525252525366e+00 3.511191734215141991e+46 3.093243703834244010e+41 6.433784895772122951e+45 4.787876291831538690e-05 3.305927759628031794e-42
5.186060606060605593e+00 3.898603702549095847e+46 3.036795141100599302e+41 6.375379455425661988e+45 4.743403148479164848e-05 2.242036340652907655e-42
5.276868686868686709e+00 4.328761281083026233e+46 2.974625637592593986e+41 6.310421979955169974e+45 4.693942821282728368e-05 1.519540933187585297e-42
5.367676767676767824e+00 4.806380863064369362e+46 2.907292063876034645e+41 6.239297077445863144e+45 4.639788773689779611e-05 1.029413038649675124e-42
5.458484848484848051e+00 5.336699231206301532e+46 2.835356185685278950e+41 6.162393068276063677e+45 4.581237309258938303e-05 6.971633098930963652e-43
5.549292929292929166e+00 5.925530975545686221e+46 2.759379100571618659e+41 6.080100003083207833e+45 4.518586047241103824e-05 4.720504157331834585e-43
5.640101010101010282e+00 6.579332246575709189e+46 2.679916134744315273e+41 5.992807812143676617e+45 4.452132497005316896e-05 3.195801089605445545e-43
5.730909090909090509e+00 7.305271542664508577e+46 2.597512225641047029e+41 5.900904587241572611e+45 4.382172732626328949e-05 2.163356925869886987e-43
5.821717171717171624e+00 8.111308307896822326e+46 2.512697805265939786e+41 5.804774995086613144e+45 4.309000168096896514e-05 1.464357631111674753e-43
5.912525252525252739e+00 9.006280202112758716e+46 2.425985189626775647e+41 5.704798819029371361e+45 4.232904432853387959e-05 9.911648929784721503e-44
6.003333333333332966e+00 1.000000000000000044e+47 2.337865470783750157e+41 5.601349623183895908e+45 4.154170346610309869e-05 6.708582902876967835e-44
6.094141414141414081e+00 1.110336318167641285e+47 2.248805900195211952e+41 5.494793530155541504e+45 4.073076991882958246e-05 4.540525818410674685e-44
6.184949494949495197e+00 1.232846739442073373e+47 2.159247745341969113e+41 5.385488100578543757e+45 3.989896882034147318e-05 3.073087844137209893e-44
6.275757575757575424e+00 1.368874509537070814e+47 2.069604596183257572e+41 5.273781299966562006e+45 3.904895222210578141e-05 2.079884973735127536e-44
6.366565656565656539e+00 1.519911082952926850e+47 1.980261094017631655e+41 5.160010536569101184e+45 3.818329260128605884e-05 1.407669122625150187e-44
6.457373737373737654e+00 1.687612475788145237e+47 1.891572052958337744e+41 5.044501753832270418e+45 3.730447723329278109e-05 9.527078450140403376e-45
