# 46<log(Lx)<46.75, 46.75<log(Lx)<47.5, 47.5<log(Lx)<48.5, 46<log(Lx)<48.5, L_x, Z_list
5.577325536221239599e+04,1.050956656829772101e+03,1.440820261486289766e+01,5.683862022165703092e+04,2.750387840931934506e+47,5.186060606060605593e+00
5.420102556229250331e+04,9.728186111133746863e+02,1.333696072558523049e+01,5.518718113413146784e+04,2.915053062825169945e+47,5.276868686868686709e+00
5.259752517137050017e+04,8.966424756141507260e+02,1.229261585412220370e+01,5.350646026283877291e+04,3.089576761729400219e+47,5.367676767676767824e+00
5.094668577168179763e+04,8.229880246478577419e+02,1.128284228628537100e+01,5.178095663861594221e+04,3.274549162877731782e+47,5.458484848484848051e+00
4.918675577250160131e+04,7.523136798005164110e+02,1.031392480180527826e+01,4.994938337710392079e+04,3.470595828181075535e+47,5.549292929292929166e+00
4.713538091878779233e+04,6.849806174789332545e+02,9.390814987234049838e+00,4.782975235125396284e+04,3.678379771828649571e+47,5.640101010101010282e+00
4.444757347923442285e+04,6.212585988607852414e+02,8.517211162269527236e+00,4.507734928925747226e+04,3.898603702549095645e+47,5.730909090909090509e+00
4.098290474397051003e+04,5.613330990722475917e+02,7.695656117978107780e+00,4.155193349916073203e+04,4.132012400115368678e+47,5.821717171717171624e+00
3.715323097331235476e+04,5.053133398608795233e+02,6.927647241581614601e+00,3.766547196041481220e+04,4.379395234130462724e+47,5.912525252525252739e+00
3.338742481745136320e+04,4.532408668913719794e+02,6.213754107810700589e+00,3.384687943845054542e+04,4.641588833612753356e+47,6.003333333333332966e+00
2.985433111812012066e+04,4.050983558714580681e+02,5.553739207428787239e+00,3.026498321319900788e+04,4.919479916408200229e+47,6.094141414141414081e+00
2.659364125112015972e+04,3.608183781681960340e+02,4.946678120385755939e+00,2.695940630740873894e+04,5.214008287999673726e+47,6.184949494949495197e+00
2.360716635746851534e+04,3.202919039699146992e+02,4.391076090825144718e+00,2.393184933752925645e+04,5.526170019854087188e+47,6.275757575757575424e+00
2.088638320941124766e+04,2.833763673968271632e+02,3.884978596580365373e+00,2.117364455540465497e+04,5.857020818056673520e+47,6.366565656565656539e+00
1.841923899101316056e+04,2.499031617158250356e+02,3.426074105622874288e+00,1.867256822683460996e+04,6.207679593624780082e+47,6.457373737373737654e+00
